mbid,name,main_genre
ce55e49a-32f4-4757-9849-bf04d06d5fcc,T‐Pain,hip hop
8837b875-3689-4646-b3fd-d8b53815c7a8,Lil Uzi Vert,hip hop
800760de-bdf8-43a2-8fe0-44a2401a5515,Young Thug,hip hop
de23d637-20df-4b15-ae63-263dd5a34f10,DJ Drama,hip hop
83735edd-f2a3-41d0-a31d-652bc3cadb3e,Jadakiss,hip hop
25b7b584-d952-4662-a8b9-dd8cdfbfeb64,A$AP Rocky,hip hop
61af87f4-16ee-4431-8504-cc06187079fb,XXXTENTACION,trap
f6beac20-5dfe-4d1f-ae02-0b0a740aafd6,"Tyler, The Creator",hip hop
20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,pop
d5d97b2b-b83b-4976-814a-056d9076c8c3,The Notorious B.I.G.,hip hop
a449973b-074b-4cf0-a4d6-f11fa2d1073f,E‐40,hip hop
650e7db6-b795-4eb5-a702-5ea2fc46c848,Lady Gaga,pop
37b2cb82-ef79-4d46-a184-a549450aa231,21 Savage,trap
b2029169-2574-4305-820f-252a5fde3697,Meghan Trainor,doo-wop
afb680f2-b6eb-4cd7-a70b-a63b25c763d5,Bruno Mars,pop
9034f787-3e79-44fe-89c1-8a082d556eec,Kurupt,hip hop
8dd98bdc-80ec-4e93-8509-2f46bafc09a7,Calvin Harris,dance-pop
f59c5520-5f46-4d2c-b2c4-822eabf53419,Linkin Park,nu metal
01b8b5bf-06cb-45da-85fb-61ada72fcd69,Camila Cabello,pop
2f522f5c-111c-4ce8-8bd0-d82e97c227ad,Daddy Yankee,reggaeton
596ffa74-3d08-44ef-b113-765d43d12738,Justin Timberlake,pop
4e4ebde4-0c56-4dec-844b-6c73adcdd92d,Juice WRLD,hip hop
0383dadf-2a4e-4d10-a46a-e9e041da8eb3,Queen,rock
35f343df-3b87-4475-b0e4-d2ba5cc26eea,Romeo Santos,bachata
cfbc0924-0035-4d6c-8197-f024653af823,Nas,hip hop
db76c5ca-d555-4f09-b1db-baa1b713d875,Mary J. Blige,contemporary r&b
28737730-ec70-4da5-89c5-77ac13c5c34d,Khalid,contemporary r&b
081a2d60-9791-4e05-a075-f1890355eeee,DJ Khaled,hip hop
7fb57fba-a6ef-44c2-abab-2fa3bdee607e,Childish Gambino,hip hop
48262e82-db9f-4a92-b650-dfef979b73ec,Future,hip hop
c45d161f-83ce-4464-ba41-44202e6916d9,Juicy J,hip hop
ac9a487a-d9d2-4f27-bb23-0f4686488345,Lil Wayne,hip hop
c458e9dc-e0d5-45ea-9e83-f9d0395f030d,Nicky Jam,reggaeton
253c9ae7-850b-46be-8fbb-65e9fa621058,Pop Smoke,hip hop
0221734a-35a8-40f7-b5c5-2f61a200bc7c,Migos,hip hop
127d8614-0876-4408-886c-6f110b047a78,YoungBoy Never Broke Again,hip hop
382f1005-e9ab-4684-afd4-0bdae4ee37f2,2Pac,gangsta rap
e4bc69e2-a064-4f93-ada1-f7f209cc1cc3,Selena Gomez,dance-pop
4ae36ade-1798-48c4-b06b-cc68b7d3d83f,Porter Robinson,electronic
e21857d5-3256-4547-afb3-4b6ded592596,Gorillaz,alternative rock
5df62a88-cac9-490a-b62c-c7c88f4020f4,Doja Cat,hip hop
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,pop
9fff2f8a-21e6-47de-a2b8-7f449929d43f,Drake,hip hop
f27ec8db-af05-4f36-916e-3d57f91ecf5e,Michael Jackson,pop
f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62,T.I.,hip hop
875203e1-8e58-4b86-8dcb-7190faf411c5,J. Cole,hip hop
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,alternative rock
daa09819-5da5-4c7a-8bef-eb372bb27ff1,Timbaland,contemporary r&b
2baf3276-ed6a-4349-8d2e-f4601e7b2167,Playboi Carti,hip hop
122d63fc-8671-43e4-9752-34e846d62a9c,Katy Perry,pop
302bd7b9-d012-4360-897a-93b00c855680,David Guetta,dance-pop
6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,Dua Lipa,dance-pop
301b45a4-b8b9-410e-8344-4b4eaf96691a,Marshmello,edm
e4a51f17-a57b-47b1-b37b-f552d0f8e9e6,Travis Scott,hip hop
b83bc61f-8451-4a5d-8b8e-7e9ed295e822,Elton John,pop
f90e8b26-9e52-4669-a5c9-e28529c47894,Snoop Dogg,hip hop
8ef1df30-ae4f-4dbd-9351-1a32b208a01e,Alicia Keys,contemporary r&b
f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,Ariana Grande,pop
10a9ff92-9637-4498-afea-7044b2ab0dc0,Busta Rhymes,hip hop
